                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62867,                 1.2804,                 2.9053,                 1.3167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.038093,              0.0032926,              0.0032926
                      2,                0.63481,                 1.2927,                 2.9236,                 1.3349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048007,              0.0048007,              0.0048007
                      3,                0.58816,                 1.1952,                 2.7407,                 1.2824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048007,              0.0048007,              0.0048007
                      4,                0.55495,                 1.1148,                  2.585,                 1.2486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045513,              0.0045513,              0.0045513
                      5,                 0.5282,                 1.0652,                   2.44,                 1.2163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004302,               0.004302,               0.004302
                      6,                0.50903,                 1.0275,                 2.3493,                 1.1936,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040526,              0.0040526,              0.0040526
                      7,                0.49395,                 0.9929,                 2.2602,                 1.1714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038033,              0.0038033,              0.0038033
                      8,                0.47764,                 0.9551,                  2.176,                 1.1576,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035539,              0.0035539,              0.0035539
                      9,                0.46813,                0.94896,                 2.1214,                 1.1437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033046,              0.0033046,              0.0033046
                     10,                0.45726,                0.91235,                  2.062,                 1.1343,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030552,              0.0030552,              0.0030552
                     11,                0.47103,                0.94335,                  2.073,                 1.1787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028059,              0.0028059,              0.0028059
                     12,                0.45574,                0.91036,                 1.9753,                 1.1576,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025565,              0.0025565,              0.0025565
                     13,                0.43861,                0.87117,                 1.8811,                 1.1353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023072,              0.0023072,              0.0023072
                     14,                0.42819,                0.84385,                  1.808,                 1.1179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020578,              0.0020578,              0.0020578
                     15,                0.41309,                0.81053,                 1.7258,                 1.0984,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018085,              0.0018085,              0.0018085
                     16,                0.40137,                0.79027,                 1.6493,                 1.0825,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015591,              0.0015591,              0.0015591
                     17,                0.38736,                0.76602,                 1.5621,                 1.0607,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013098,              0.0013098,              0.0013098
                     18,                0.37779,                0.73635,                 1.4824,                 1.0519,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010604,              0.0010604,              0.0010604
                     19,                  0.362,                 0.7087,                 1.3903,                 1.0314,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081107,             0.00081107,             0.00081107
                     20,                0.34973,                0.68863,                 1.3091,                 1.0149,                0.35361,                0.30625,                0.26651,                0.21302,                0.35286,                0.30795,                0.26587,                0.20286,                0.43443,                0.84187,                 1.8374,                 1.1152,             0.00056172,             0.00056172,             0.00056172
