                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67881,                 1.3921,                 2.5564,                 1.0812,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.051466,              0.0049942,              0.0049942
                      2,                0.67531,                 1.3828,                 2.5494,                 1.0845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0088691,              0.0088691,              0.0088691
                      3,                0.62068,                 1.2706,                 2.3951,                 1.0335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0088691,              0.0088691,              0.0088691
                      4,                0.58761,                 1.1952,                 2.2702,                 1.0052,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0084082,              0.0084082,              0.0084082
                      5,                0.56118,                 1.1441,                  2.165,                0.98101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0079473,              0.0079473,              0.0079473
                      6,                0.54409,                 1.1076,                 2.0969,                0.95907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074864,              0.0074864,              0.0074864
                      7,                0.52818,                  1.075,                 2.0261,                0.94502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070254,              0.0070254,              0.0070254
                      8,                0.51303,                 1.0344,                 1.9614,                0.92998,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065645,              0.0065645,              0.0065645
                      9,                0.50495,                  1.023,                 1.9151,                0.92179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061036,              0.0061036,              0.0061036
                     10,                0.49063,                0.98084,                 1.8592,                0.91355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056427,              0.0056427,              0.0056427
                     11,                0.50566,                 1.0261,                 1.9211,                0.96458,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051818,              0.0051818,              0.0051818
                     12,                0.49103,                0.99205,                 1.8351,                0.94828,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047209,              0.0047209,              0.0047209
                     13,                0.47985,                0.95793,                 1.7784,                0.93746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00426,                0.00426,                0.00426
                     14,                0.46995,                0.93389,                  1.735,                0.92681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037991,              0.0037991,              0.0037991
                     15,                 0.4538,                0.90667,                 1.6687,                 0.9088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033382,              0.0033382,              0.0033382
                     16,                0.44304,                0.88031,                 1.6127,                0.89999,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028772,              0.0028772,              0.0028772
                     17,                0.42868,                0.86292,                 1.5555,                0.87742,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024163,              0.0024163,              0.0024163
                     18,                0.42099,                0.84057,                 1.5157,                 0.8764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019554,              0.0019554,              0.0019554
                     19,                0.40902,                0.80836,                 1.4424,                0.86636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014945,              0.0014945,              0.0014945
                     20,                0.39438,                0.78591,                  1.387,                0.84825,                0.42172,                0.26761,                 0.2389,                 0.1906,                0.42143,                0.26732,                0.23852,                0.18233,                 0.4327,                0.84613,                 1.5682,                0.87449,              0.0010336,              0.0010336,              0.0010336
