                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91811,                 2.2737,                  4.761,                 1.2311,                 0.6647,                0.02809,                0.01604,                0.01247,                0.66602,                0.02876,                0.01627,                0.01217,                0.96137,                 2.0857,                 4.0728,                 1.3044,              0.0033233,              0.0033233,              0.0033233
                      2,                0.97639,                 1.9713,                 3.8196,                 1.2708,                0.60554,                 0.0579,                0.03821,                 0.0272,                0.60578,                0.05775,                0.03809,                0.02632,                 1.1001,                 2.2329,                 3.5788,                 1.4186,              0.0066237,              0.0066237,              0.0066237
                      3,                 1.0099,                 2.0082,                 3.1924,                 1.2912,                0.50731,                0.08412,                0.05193,                0.03704,                0.51581,                0.08321,                0.05129,                0.03515,                 1.1481,                   2.47,                 3.2727,                 1.4643,              0.0098911,              0.0098911,              0.0098911
                      4,                 1.0251,                 2.0434,                 2.9175,                 1.2953,                0.50765,                0.10954,                0.07251,                0.05097,                0.50715,                0.10833,                 0.0717,                0.04946,                 1.1516,                 2.4198,                 2.9365,                 1.4677,              0.0098515,              0.0098515,              0.0098515
                      5,                0.99982,                 1.9979,                  2.762,                 1.2769,                0.43707,                0.13166,                0.08312,                0.06106,                0.43787,                0.13209,                0.08431,                0.05861,                 1.0805,                 2.2686,                 2.7955,                 1.3882,              0.0098515,              0.0098515,              0.0098515
                      6,                0.96533,                 1.9149,                 2.6484,                 1.2499,                0.36813,                0.14157,                0.09118,                0.06723,                0.36542,                0.13971,                  0.091,                0.06384,                 1.0276,                 2.1834,                 2.7562,                 1.3439,               0.009802,               0.009802,               0.009802
                      7,                0.95675,                 1.9069,                 2.5726,                 1.2414,                0.41769,                0.15969,                0.11715,                0.08657,                0.42262,                0.15942,                0.11849,                0.08431,                 1.0037,                 2.0122,                 2.5363,                 1.3272,              0.0097525,              0.0097525,              0.0097525
                      8,                0.93315,                 1.8604,                 2.5038,                 1.2292,                0.43577,                0.18193,                0.13695,                0.10267,                0.43636,                 0.1816,                0.13745,                0.10126,                0.97454,                 1.9396,                 2.4459,                 1.2997,               0.009703,               0.009703,               0.009703
                      9,                0.91893,                 1.8408,                 2.4566,                 1.2203,                0.42959,                0.17287,                0.12607,                0.09528,                0.42981,                0.17294,                0.12578,                0.09114,                0.98707,                 2.0485,                 2.5736,                 1.3214,              0.0096535,              0.0096535,              0.0096535
                     10,                0.91026,                 1.8153,                 2.4103,                 1.2103,                0.43112,                0.17607,                0.14044,                 0.1059,                0.43265,                0.17585,                0.14121,                0.10248,                0.93315,                 1.8817,                 2.3829,                 1.2678,               0.009604,               0.009604,               0.009604
                     11,                0.89427,                  1.771,                 2.3551,                 1.2008,                0.43714,                0.18782,                0.14891,                0.11309,                0.44269,                 0.1876,                0.15055,                0.11056,                0.93161,                 1.9156,                 2.3104,                 1.2721,              0.0095545,              0.0095545,              0.0095545
                     12,                 0.8859,                 1.7485,                 2.3069,                  1.194,                0.44032,                0.19976,                0.16172,                0.12246,                0.44101,                0.19961,                0.16231,                0.11848,                0.92253,                 1.8474,                 2.2536,                 1.2546,               0.009505,               0.009505,               0.009505
                     13,                0.88588,                 1.7533,                 2.2903,                 1.1957,                0.43309,                0.20256,                0.16492,                0.12581,                0.43401,                0.20241,                0.16555,                0.12227,                0.92518,                  1.809,                 2.2663,                 1.2538,              0.0094555,              0.0094555,              0.0094555
                     14,                0.87652,                 1.7336,                 2.2584,                 1.1867,                0.42781,                0.19691,                0.16194,                0.12339,                 0.4272,                0.19662,                0.16053,                0.11867,                 0.9272,                 1.8534,                 2.3126,                 1.2617,               0.009406,               0.009406,               0.009406
                     15,                0.87133,                 1.7321,                 2.2232,                 1.1831,                0.44699,                 0.2079,                0.17821,                0.13546,                   0.45,                0.20482,                0.17832,                0.13073,                0.90537,                 1.8391,                 2.2196,                 1.2505,              0.0093565,              0.0093565,              0.0093565
                     16,                0.86327,                 1.6942,                 2.1868,                 1.1783,                0.41282,                0.22983,                0.18247,                0.13818,                 0.4145,                0.22758,                0.18265,                0.13429,                0.89443,                  1.775,                 2.1721,                 1.2366,               0.009307,               0.009307,               0.009307
                     17,                0.85299,                 1.6909,                  2.155,                 1.1684,                0.44234,                0.22441,                0.18974,                0.14586,                0.44303,                0.22349,                0.19083,                 0.1405,                0.88553,                  1.762,                 2.1472,                 1.2306,              0.0092575,              0.0092575,              0.0092575
