                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81378,                 1.6568,                 2.5743,                 1.1551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041633,              0.0079441,              0.0079441
                      2,                0.77853,                 1.5808,                 2.4903,                 1.1267,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01139,                0.01139,                0.01139
                      3,                0.71085,                  1.446,                 2.3401,                 1.0727,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01139,                0.01139,                0.01139
                      4,                0.66503,                 1.3426,                 2.2007,                 1.0369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0108,                 0.0108,                 0.0108
                      5,                 0.6403,                 1.2965,                 2.1162,                 1.0161,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01021,                0.01021,                0.01021
                      6,                0.61607,                 1.2537,                 2.0558,                0.99118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00962,                0.00962,                0.00962
                      7,                0.59482,                 1.2146,                 1.9815,                 0.9744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00903,                0.00903,                0.00903
                      8,                0.58294,                 1.1743,                  1.929,                0.96211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00844,                0.00844,                0.00844
                      9,                0.57137,                  1.157,                 1.8846,                0.95382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00785,                0.00785,                0.00785
                     10,                0.56122,                 1.1137,                 1.8359,                0.94557,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00726,                0.00726,                0.00726
                     11,                0.57199,                 1.1599,                  1.877,                0.99105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00667,                0.00667,                0.00667
                     12,                0.56528,                 1.1329,                 1.8195,                0.98302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00608,                0.00608,                0.00608
                     13,                0.54619,                 1.0886,                 1.7506,                0.96553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00549,                0.00549,                0.00549
                     14,                0.53245,                 1.0631,                 1.7003,                 0.9511,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0049,                 0.0049,                 0.0049
                     15,                0.51647,                 1.0332,                 1.6529,                0.93747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00431,                0.00431,                0.00431
                     16,                0.50368,                0.99948,                   1.59,                0.92663,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00372,                0.00372,                0.00372
                     17,                0.49095,                 0.9777,                 1.5397,                0.90899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00313,                0.00313,                0.00313
                     18,                0.47618,                0.94629,                 1.4886,                0.90173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00254,                0.00254,                0.00254
                     19,                0.46304,                0.91412,                 1.4294,                0.88891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019499,              0.0019499,              0.0019499
                     20,                0.45126,                0.89367,                 1.3776,                0.87756,                0.38151,                0.26202,                0.23073,                0.18343,                0.38368,                0.26273,                0.23089,                0.17583,                0.50353,                0.96777,                 1.5255,                0.90986,              0.0013599,              0.0013599,              0.0013599
