                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72813,                 1.4955,                 2.7007,                 1.3422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037436,              0.0074808,              0.0074808
                      2,                0.68457,                 1.4083,                 2.5875,                 1.2945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01015,                0.01015,                0.01015
                      3,                0.64158,                  1.321,                 2.4341,                 1.2454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01015,                0.01015,                0.01015
                      4,                0.60324,                  1.234,                  2.319,                 1.2042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096202,              0.0096202,              0.0096202
                      5,                0.58372,                  1.193,                 2.2454,                 1.1766,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090904,              0.0090904,              0.0090904
                      6,                0.55726,                 1.1354,                 2.1661,                  1.152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085605,              0.0085605,              0.0085605
                      7,                0.53838,                 1.1083,                   2.09,                 1.1335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0080306,              0.0080306,              0.0080306
                      8,                0.52188,                 1.0648,                 2.0251,                 1.1135,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075007,              0.0075007,              0.0075007
                      9,                0.51893,                 1.0499,                 1.9898,                 1.1105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069708,              0.0069708,              0.0069708
                     10,                0.50631,                 1.0136,                 1.9377,                 1.0936,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064409,              0.0064409,              0.0064409
                     11,                 0.5225,                 1.0604,                 1.9714,                 1.1558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059111,              0.0059111,              0.0059111
                     12,                0.50575,                 1.0256,                 1.9047,                 1.1325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053812,              0.0053812,              0.0053812
                     13,                0.49503,                0.99717,                 1.8401,                 1.1192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048513,              0.0048513,              0.0048513
                     14,                0.47943,                0.96771,                 1.7842,                 1.1014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043214,              0.0043214,              0.0043214
                     15,                0.46379,                0.94441,                 1.7286,                 1.0846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037915,              0.0037915,              0.0037915
                     16,                0.45626,                0.91421,                 1.6761,                 1.0749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032616,              0.0032616,              0.0032616
                     17,                0.44244,                0.89348,                 1.6138,                 1.0539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027318,              0.0027318,              0.0027318
                     18,                0.43137,                0.86786,                 1.5714,                  1.044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022019,              0.0022019,              0.0022019
                     19,                0.41913,                0.84235,                 1.5059,                 1.0309,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001672,               0.001672,               0.001672
                     20,                0.40741,                 0.8177,                 1.4548,                 1.0141,                 0.3574,                0.25372,                0.22048,                 0.1756,                0.35943,                0.25959,                0.22132,                0.16896,                0.45061,                0.88382,                 1.6285,                 1.0553,              0.0011421,              0.0011421,              0.0011421
