                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8655,                 3.7883,                 3.6772,                 1.4339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068958,               0.022121,               0.022121
                      2,                 1.6893,                 3.4301,                 3.4252,                 1.3278,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039544,               0.039544,               0.039544
                      3,                 1.5913,                 3.2557,                 3.2944,                 1.2706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039544,               0.039544,               0.039544
                      4,                 1.4445,                  2.975,                 3.1056,                 1.2009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037477,               0.037477,               0.037477
                      5,                 1.3728,                 2.8438,                 2.9737,                 1.1594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.035411,               0.035411,               0.035411
                      6,                 1.3047,                 2.7041,                 2.8723,                 1.1253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.033345,               0.033345,               0.033345
                      7,                 1.2634,                 2.6342,                 2.7961,                 1.1051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.031278,               0.031278,               0.031278
                      8,                 1.2356,                   2.56,                 2.7095,                 1.0873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.029212,               0.029212,               0.029212
                      9,                  1.202,                 2.4883,                 2.6439,                 1.0703,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.027146,               0.027146,               0.027146
                     10,                 1.1588,                 2.4074,                 2.5843,                 1.0534,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025079,               0.025079,               0.025079
                     11,                 1.1779,                  2.449,                 2.5943,                  1.099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023013,               0.023013,               0.023013
                     12,                 1.1473,                 2.3758,                 2.5252,                 1.0802,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.020946,               0.020946,               0.020946
                     13,                 1.1084,                 2.3049,                 2.4555,                 1.0627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01888,                0.01888,                0.01888
                     14,                 1.0891,                 2.2494,                 2.4108,                 1.0509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016814,               0.016814,               0.016814
                     15,                 1.0697,                  2.226,                 2.3616,                  1.044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014747,               0.014747,               0.014747
                     16,                 1.0429,                 2.1556,                 2.3097,                 1.0292,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012681,               0.012681,               0.012681
                     17,                 1.0225,                 2.1143,                 2.2485,                 1.0122,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010615,               0.010615,               0.010615
                     18,                 1.0011,                 2.0628,                 2.2097,                  1.006,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085484,              0.0085484,              0.0085484
                     19,                0.97066,                 2.0112,                 2.1539,                0.99099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006482,               0.006482,               0.006482
                     20,                0.94787,                 1.9626,                 2.1055,                0.97755,                0.01817,                0.37891,                0.05015,                0.03792,                0.00218,                0.04144,                0.00272,                0.00113,                    nan,                 8.5933,                    nan,                    nan,              0.0044157,              0.0044157,              0.0044157
