                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76144,                 1.5382,                 2.5251,                 1.0976,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.048391,              0.0049364,              0.0049364
                      2,                0.75995,                 1.5236,                 2.5057,                 1.1001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082989,              0.0082989,              0.0082989
                      3,                0.69752,                 1.4114,                 2.3585,                 1.0524,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082989,              0.0082989,              0.0082989
                      4,                0.66202,                 1.3458,                 2.2585,                 1.0214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0078679,              0.0078679,              0.0078679
                      5,                0.62996,                 1.2822,                 2.1583,                0.99743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074368,              0.0074368,              0.0074368
                      6,                0.61333,                 1.2405,                 2.0864,                0.98226,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070057,              0.0070057,              0.0070057
                      7,                0.60344,                 1.2075,                 2.0278,                0.97268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065747,              0.0065747,              0.0065747
                      8,                0.58034,                 1.1686,                 1.9713,                0.95236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061436,              0.0061436,              0.0061436
                      9,                 0.5637,                 1.1336,                  1.915,                0.94385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057125,              0.0057125,              0.0057125
                     10,                0.55824,                 1.1251,                 1.9055,                0.93499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052814,              0.0052814,              0.0052814
                     11,                0.56782,                 1.1451,                 1.8906,                0.97919,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048504,              0.0048504,              0.0048504
                     12,                0.55816,                  1.115,                 1.8319,                0.97062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044193,              0.0044193,              0.0044193
                     13,                0.54246,                 1.0707,                 1.7647,                0.95561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039882,              0.0039882,              0.0039882
                     14,                0.52616,                 1.0442,                 1.7054,                 0.9409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035572,              0.0035572,              0.0035572
                     15,                 0.5123,                 1.0149,                 1.6454,                0.92592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031261,              0.0031261,              0.0031261
                     16,                0.49832,                0.98483,                 1.5904,                0.91653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002695,               0.002695,               0.002695
                     17,                0.48945,                0.96017,                 1.5358,                0.89982,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002264,               0.002264,               0.002264
                     18,                0.47701,                0.93222,                 1.4941,                0.89421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018329,              0.0018329,              0.0018329
                     19,                0.46117,                0.90554,                 1.4343,                0.88122,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014018,              0.0014018,              0.0014018
                     20,                0.44659,                0.88226,                 1.3774,                0.86702,                0.33989,                0.26429,                0.24276,                0.19402,                0.34378,                0.26571,                0.24101,                0.18616,                0.50077,                0.96793,                 1.5661,                0.90487,             0.00097074,             0.00097074,             0.00097074
