                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88187,                  1.791,                 1.5618,                 1.0397,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03811,              0.0070682,              0.0070682
                      2,                0.84469,                  1.728,                 1.5206,                 1.0212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009746,               0.009746,               0.009746
                      3,                0.78469,                 1.5865,                 1.4377,                0.97914,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009746,               0.009746,               0.009746
                      4,                 0.7375,                 1.4907,                 1.3765,                0.94599,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009242,               0.009242,               0.009242
                      5,                 0.7104,                 1.4517,                 1.3316,                0.92935,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087381,              0.0087381,              0.0087381
                      6,                0.68515,                 1.4015,                 1.2929,                 0.9103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082341,              0.0082341,              0.0082341
                      7,                0.66676,                 1.3582,                 1.2541,                0.89885,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0077301,              0.0077301,              0.0077301
                      8,                0.64455,                 1.3102,                 1.2263,                0.88499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072261,              0.0072261,              0.0072261
                      9,                 0.6352,                 1.2723,                 1.1909,                0.87503,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067222,              0.0067222,              0.0067222
                     10,                 0.6135,                 1.2456,                 1.1644,                 0.8626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062182,              0.0062182,              0.0062182
                     11,                 0.6245,                  1.271,                 1.1757,                0.90218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057142,              0.0057142,              0.0057142
                     12,                0.62174,                  1.248,                 1.1478,                0.89641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052102,              0.0052102,              0.0052102
                     13,                0.59291,                 1.1932,                 1.1051,                0.87589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047063,              0.0047063,              0.0047063
                     14,                 0.5858,                 1.1718,                 1.0814,                0.86951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042023,              0.0042023,              0.0042023
                     15,                0.57275,                 1.1351,                 1.0517,                0.85686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036983,              0.0036983,              0.0036983
                     16,                0.55485,                 1.1023,                 1.0171,                0.84625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031943,              0.0031943,              0.0031943
                     17,                0.53534,                 1.0745,                0.99008,                0.82577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026903,              0.0026903,              0.0026903
                     18,                0.52645,                 1.0407,                0.97059,                0.82454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021864,              0.0021864,              0.0021864
                     19,                0.51245,                 1.0166,                0.94084,                0.81284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016824,              0.0016824,              0.0016824
                     20,                0.49469,                 0.9863,                0.90703,                0.79967,                0.37079,                0.23251,                0.19267,                0.15291,                0.37353,                0.22961,                 0.1913,                0.14667,                0.55136,                 1.0894,                0.98712,                0.83303,              0.0011784,              0.0011784,              0.0011784
