                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53538,                 1.0844,                 2.8398,                0.91383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.050707,               0.003152,               0.003152
                      2,                0.55426,                 1.1198,                 2.9045,                0.93613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057133,              0.0057133,              0.0057133
                      3,                0.52042,                 1.0606,                 2.7414,                0.90468,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057133,              0.0057133,              0.0057133
                      4,                0.48741,                0.98788,                 2.5833,                0.87661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054165,              0.0054165,              0.0054165
                      5,                0.46545,                0.93776,                 2.4414,                0.85552,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051198,              0.0051198,              0.0051198
                      6,                0.44919,                0.90756,                 2.3683,                0.84021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004823,               0.004823,               0.004823
                      7,                 0.4323,                0.86914,                 2.2789,                0.82484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045263,              0.0045263,              0.0045263
                      8,                0.42111,                0.84666,                 2.1988,                0.81355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042295,              0.0042295,              0.0042295
                      9,                0.41407,                0.83343,                 2.1464,                0.80802,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039328,              0.0039328,              0.0039328
                     10,                0.40426,                0.80831,                 2.0833,                0.79706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003636,               0.003636,               0.003636
                     11,                0.40791,                0.82367,                 2.0658,                0.82596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033393,              0.0033393,              0.0033393
                     12,                0.40226,                0.79578,                 1.9993,                0.81688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030426,              0.0030426,              0.0030426
                     13,                0.39337,                0.77435,                 1.9238,                0.80746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027458,              0.0027458,              0.0027458
                     14,                0.37781,                0.74743,                 1.8374,                 0.7922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024491,              0.0024491,              0.0024491
                     15,                0.36742,                 0.7289,                 1.7804,                0.78117,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021523,              0.0021523,              0.0021523
                     16,                0.35991,                0.70591,                 1.7048,                0.77439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018556,              0.0018556,              0.0018556
                     17,                0.34791,                0.68903,                 1.6335,                 0.7565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015588,              0.0015588,              0.0015588
                     18,                0.33988,                0.66228,                 1.5563,                0.75064,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012621,              0.0012621,              0.0012621
                     19,                0.32881,                0.64418,                 1.4714,                0.74027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096536,             0.00096536,             0.00096536
                     20,                0.31603,                 0.6249,                 1.4008,                 0.7258,                  0.355,                0.29471,                0.26756,                0.21272,                0.35633,                0.29321,                0.26722,                0.20405,                0.37552,                0.72321,                 1.8106,                0.77694,             0.00066861,             0.00066861,             0.00066861
