                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61776,                 1.2523,                 2.9564,                 1.1528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.038809,              0.0026694,              0.0026694
                      2,                0.64075,                 1.3033,                 3.0668,                 1.1917,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039742,              0.0039742,              0.0039742
                      3,                0.59785,                  1.209,                 2.8634,                  1.146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039742,              0.0039742,              0.0039742
                      4,                0.56377,                 1.1312,                 2.6962,                 1.1127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037684,              0.0037684,              0.0037684
                      5,                0.53343,                 1.0747,                 2.5439,                 1.0833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035626,              0.0035626,              0.0035626
                      6,                0.52096,                 1.0495,                 2.4708,                 1.0655,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033568,              0.0033568,              0.0033568
                      7,                0.49808,                0.99975,                 2.3547,                  1.044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003151,               0.003151,               0.003151
                      8,                 0.4883,                0.97689,                  2.276,                 1.0313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029452,              0.0029452,              0.0029452
                      9,                0.47648,                0.95827,                 2.2012,                 1.0218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027394,              0.0027394,              0.0027394
                     10,                0.46272,                0.92089,                 2.1328,                 1.0098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025336,              0.0025336,              0.0025336
                     11,                0.48023,                0.95532,                 2.1654,                 1.0554,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023278,              0.0023278,              0.0023278
                     12,                0.45546,                0.90977,                 2.0197,                 1.0229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002122,               0.002122,               0.002122
                     13,                0.44463,                0.88028,                 1.9461,                 1.0128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019162,              0.0019162,              0.0019162
                     14,                0.43417,                0.85237,                 1.8587,                0.99871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017104,              0.0017104,              0.0017104
                     15,                0.42122,                0.82856,                 1.8007,                 0.9831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015046,              0.0015046,              0.0015046
                     16,                0.40745,                0.79939,                 1.7023,                0.96745,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012988,              0.0012988,              0.0012988
                     17,                0.39538,                0.77719,                 1.6227,                 0.9531,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001093,               0.001093,               0.001093
                     18,                0.38294,                0.74453,                 1.5391,                0.94177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008872,              0.0008872,              0.0008872
                     19,                 0.3701,                0.72054,                  1.442,                0.92774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006814,              0.0006814,              0.0006814
                     20,                0.35766,                0.69746,                 1.3635,                 0.9122,                0.40522,                0.29468,                0.27579,                0.22038,                  0.406,                0.29589,                0.27673,                0.21226,                0.44067,                0.85641,                 1.9448,                0.99699,              0.0004756,              0.0004756,              0.0004756
