                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79194,                 1.6143,                 2.9623,                 1.1836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036902,              0.0029317,              0.0029317
                      2,                0.80604,                 1.6386,                  3.058,                 1.2114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042214,              0.0042214,              0.0042214
                      3,                 0.7474,                 1.5241,                 2.8208,                 1.1592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042214,              0.0042214,              0.0042214
                      4,                0.69998,                 1.4045,                 2.6472,                 1.1224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040029,              0.0040029,              0.0040029
                      5,                 0.6643,                 1.3329,                 2.5071,                 1.0908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037843,              0.0037843,              0.0037843
                      6,                0.64435,                 1.3006,                 2.4242,                 1.0776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035658,              0.0035658,              0.0035658
                      7,                0.62652,                 1.2521,                  2.336,                 1.0604,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033472,              0.0033472,              0.0033472
                      8,                0.61005,                 1.2167,                 2.2467,                 1.0444,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031286,              0.0031286,              0.0031286
                      9,                0.59277,                  1.182,                 2.1738,                 1.0319,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029101,              0.0029101,              0.0029101
                     10,                0.57523,                 1.1444,                 2.1104,                 1.0155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026915,              0.0026915,              0.0026915
                     11,                0.59277,                 1.1768,                 2.1301,                 1.0574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002473,               0.002473,               0.002473
                     12,                  0.576,                 1.1399,                 2.0382,                 1.0406,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022544,              0.0022544,              0.0022544
                     13,                0.54956,                 1.0854,                 1.9299,                 1.0167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020359,              0.0020359,              0.0020359
                     14,                0.53766,                 1.0514,                  1.848,                 1.0036,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018173,              0.0018173,              0.0018173
                     15,                0.51948,                 1.0158,                 1.7768,                0.98962,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015987,              0.0015987,              0.0015987
                     16,                0.50568,                0.98672,                 1.7054,                0.97649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013802,              0.0013802,              0.0013802
                     17,                0.49228,                 0.9605,                 1.6252,                0.96022,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011616,              0.0011616,              0.0011616
                     18,                0.47848,                0.92363,                 1.5538,                0.95126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094306,             0.00094306,             0.00094306
                     19,                0.45666,                0.88925,                 1.4483,                0.93089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007245,              0.0007245,              0.0007245
                     20,                0.44281,                0.86214,                 1.3692,                0.91715,                0.37789,                0.30616,                0.27321,                0.21747,                0.37321,                0.29925,                0.26946,                0.20842,                0.54374,                 1.0711,                 1.9071,                 1.0033,             0.00050594,             0.00050594,             0.00050594
