                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6881,                 1.4023,                 3.1912,                 1.2641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.024329,              0.0048987,              0.0048987
                      2,                0.67651,                 1.3754,                 3.1635,                 1.2613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057797,              0.0057797,              0.0057797
                      3,                0.62035,                 1.2547,                 2.9239,                 1.2025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057797,              0.0057797,              0.0057797
                      4,                0.58721,                  1.186,                 2.7631,                 1.1677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054795,              0.0054795,              0.0054795
                      5,                0.55903,                 1.1301,                 2.6056,                 1.1401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051792,              0.0051792,              0.0051792
                      6,                0.54611,                 1.0997,                 2.5504,                 1.1232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004879,               0.004879,               0.004879
                      7,                0.52724,                 1.0614,                 2.4389,                 1.1045,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045787,              0.0045787,              0.0045787
                      8,                0.51373,                 1.0286,                 2.3689,                 1.0892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042785,              0.0042785,              0.0042785
                      9,                0.50274,                 1.0113,                 2.2994,                 1.0753,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039782,              0.0039782,              0.0039782
                     10,                0.49073,                0.98254,                 2.2388,                 1.0685,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003678,               0.003678,               0.003678
                     11,                0.50194,                 1.0133,                 2.2765,                 1.1155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033777,              0.0033777,              0.0033777
                     12,                0.49122,                0.97734,                 2.1781,                 1.0983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030775,              0.0030775,              0.0030775
                     13,                 0.4771,                0.94146,                 2.0998,                 1.0845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027772,              0.0027772,              0.0027772
                     14,                0.46728,                0.91862,                 2.0176,                 1.0707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024769,              0.0024769,              0.0024769
                     15,                0.44861,                0.89427,                 1.9403,                 1.0508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021767,              0.0021767,              0.0021767
                     16,                0.43773,                0.86504,                 1.8819,                 1.0398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018764,              0.0018764,              0.0018764
                     17,                  0.425,                0.84675,                 1.7935,                 1.0165,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015762,              0.0015762,              0.0015762
                     18,                 0.4141,                 0.8156,                 1.7202,                 1.0091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012759,              0.0012759,              0.0012759
                     19,                0.40113,                0.79107,                  1.639,                0.99514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097567,             0.00097567,             0.00097567
                     20,                 0.3883,                0.76974,                 1.5561,                 0.9793,                0.39884,                0.30273,                0.26734,                0.21216,                0.39451,                0.30513,                0.26699,                0.20288,                0.45077,                0.87342,                   1.95,                  1.038,             0.00067542,             0.00067542,             0.00067542
