                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75532,                 1.5503,                  2.377,                 1.0831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036408,              0.0056728,              0.0056728
                      2,                0.74409,                 1.5266,                 2.3497,                 1.0754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0077855,              0.0077855,              0.0077855
                      3,                0.68314,                  1.391,                 2.1753,                  1.026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0077855,              0.0077855,              0.0077855
                      4,                0.64122,                 1.3032,                 2.0782,                0.99461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007381,               0.007381,               0.007381
                      5,                0.61232,                 1.2417,                 1.9803,                0.97013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069764,              0.0069764,              0.0069764
                      6,                 0.5936,                 1.2076,                 1.9128,                0.95301,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065719,              0.0065719,              0.0065719
                      7,                0.57334,                  1.167,                  1.844,                0.93424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061674,              0.0061674,              0.0061674
                      8,                0.55907,                 1.1248,                 1.7909,                0.92438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057629,              0.0057629,              0.0057629
                      9,                0.54745,                 1.1034,                 1.7435,                 0.9143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053583,              0.0053583,              0.0053583
                     10,                 0.5374,                  1.077,                 1.7011,                0.90685,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049538,              0.0049538,              0.0049538
                     11,                0.54971,                 1.1203,                 1.7436,                0.95612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045493,              0.0045493,              0.0045493
                     12,                0.53615,                 1.0805,                 1.6791,                 0.9405,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041448,              0.0041448,              0.0041448
                     13,                0.52027,                 1.0378,                 1.6259,                0.92592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037402,              0.0037402,              0.0037402
                     14,                0.51219,                 1.0207,                 1.5816,                0.91724,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033357,              0.0033357,              0.0033357
                     15,                 0.4978,                0.99871,                   1.54,                0.90347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029312,              0.0029312,              0.0029312
                     16,                0.48182,                 0.9596,                 1.4811,                0.89277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025267,              0.0025267,              0.0025267
                     17,                0.47127,                0.94459,                 1.4299,                0.87624,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021221,              0.0021221,              0.0021221
                     18,                0.45732,                0.90847,                  1.385,                0.86826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017176,              0.0017176,              0.0017176
                     19,                0.44442,                0.88001,                 1.3252,                0.85791,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013131,              0.0013131,              0.0013131
                     20,                0.43001,                0.85498,                 1.2678,                0.84375,                0.41726,                0.27349,                0.24541,                0.19701,                 0.4228,                0.27535,                0.24603,                0.18941,                 0.4757,                 0.9269,                 1.4255,                0.87266,             0.00090856,             0.00090856,             0.00090856
