                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0208,                 2.1251,                 2.3839,                 1.5369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068022,               0.014719,               0.014719
                      2,                0.93655,                 1.9312,                 2.2251,                 1.4445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03448,               0.028023,               0.028023
                      3,                0.85822,                 1.7854,                 2.1129,                 1.3621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028395,               0.028395,               0.028395
                      4,                0.80332,                 1.6877,                 2.0177,                 1.3126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028395,               0.028395,               0.028395
                      5,                0.77159,                 1.6119,                 1.9475,                 1.2815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.026832,               0.026832,               0.026832
                      6,                 0.7406,                 1.5443,                 1.8801,                  1.253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.02527,                0.02527,                0.02527
                      7,                 0.7214,                 1.5009,                 1.8294,                 1.2299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023707,               0.023707,               0.023707
                      8,                0.69576,                 1.4472,                 1.7735,                  1.208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022145,               0.022145,               0.022145
                      9,                0.67853,                 1.4051,                  1.726,                 1.1909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.020582,               0.020582,               0.020582
                     10,                 0.6585,                 1.3672,                 1.6958,                 1.1741,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019019,               0.019019,               0.019019
                     11,                 0.6794,                 1.4192,                 1.7182,                 1.2353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017457,               0.017457,               0.017457
                     12,                0.65746,                 1.3737,                 1.6623,                 1.2122,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015894,               0.015894,               0.015894
                     13,                0.64093,                 1.3226,                  1.627,                 1.1977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014332,               0.014332,               0.014332
                     14,                0.62287,                  1.297,                 1.5851,                 1.1755,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012769,               0.012769,               0.012769
                     15,                0.61074,                 1.2721,                 1.5493,                 1.1626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.011207,               0.011207,               0.011207
                     16,                0.59529,                 1.2377,                 1.5083,                 1.1485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009644,               0.009644,               0.009644
                     17,                 0.5811,                 1.2058,                 1.4667,                  1.124,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0080814,              0.0080814,              0.0080814
                     18,                0.57046,                 1.1774,                 1.4356,                 1.1197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065188,              0.0065188,              0.0065188
                     19,                0.55059,                 1.1487,                 1.3942,                 1.1019,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049563,              0.0049563,              0.0049563
                     20,                0.53558,                 1.1176,                 1.3618,                  1.085,                0.35748,                0.21265,                0.16243,                0.12482,                 0.3321,                0.19092,                0.13748,                0.08391,                 0.5714,                 1.7467,                 1.3908,                 1.1008,              0.0033937,              0.0033937,              0.0033937
