                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98887,                 2.5891,                 4.8027,                 1.2861,                  0.007,                0.14381,                0.01181,                0.00907,                0.00688,                0.14281,                0.01208,                0.00893,                0.94031,                 2.1612,                 4.1668,                 1.3142,             3.0901e-05,             3.0901e-05,             3.0901e-05
                      2,                0.92955,                 2.0063,                 4.0333,                  1.263,                0.60424,                 0.0635,                0.03695,                0.02818,                0.61542,                0.06363,                0.03777,                0.02753,                0.97242,                 1.9383,                 3.4847,                 1.3226,             5.8837e-05,             5.8837e-05,             5.8837e-05
                      3,                0.94306,                 1.8751,                 3.4831,                  1.273,                0.55176,                0.09786,                0.06632,                0.05092,                0.55343,                 0.0988,                0.06711,                0.04957,                0.96878,                 1.8511,                 3.1143,                 1.3267,             8.3703e-05,             8.3703e-05,             8.3703e-05
                      4,                0.92094,                 1.8199,                 3.1446,                 1.2577,                0.55067,                0.11627,                0.08683,                0.06739,                0.55234,                0.11696,                0.08813,                0.06532,                0.91099,                 1.8026,                   2.82,                 1.2778,             7.9189e-05,             7.9189e-05,             7.9189e-05
                      5,                0.88536,                 1.7752,                 2.9037,                 1.2349,                0.48753,                0.13748,                 0.1014,                0.07925,                 0.4889,                0.13822,                0.10332,                0.07673,                0.89641,                 1.7744,                 2.6507,                 1.2587,             7.9189e-05,             7.9189e-05,             7.9189e-05
                      6,                 0.8587,                 1.7297,                 2.7334,                 1.2126,                0.50687,                0.15027,                0.11385,                0.08938,                0.50691,                0.14967,                0.11458,                  0.086,                0.87575,                 1.7393,                 2.5423,                 1.2387,             7.4586e-05,             7.4586e-05,             7.4586e-05
                      7,                0.84586,                 1.6942,                 2.6281,                 1.2027,                0.49842,                0.15529,                0.12731,                0.10059,                0.50019,                0.15451,                 0.1286,                0.09732,                0.85195,                 1.7119,                 2.4352,                 1.2171,             6.9982e-05,             6.9982e-05,             6.9982e-05
                      8,                0.83194,                 1.6835,                  2.554,                 1.1936,                0.50346,                0.16443,                0.13647,                0.10746,                0.51458,                 0.1621,                0.13764,                0.10472,                0.84602,                 1.6908,                 2.3951,                 1.2189,             6.5379e-05,             6.5379e-05,             6.5379e-05
                      9,                0.83251,                 1.6675,                 2.4889,                 1.1853,                0.51374,                0.16751,                0.14289,                0.11318,                0.51588,                0.16541,                0.14377,                0.10915,                0.84473,                 1.6849,                 2.3427,                  1.213,             6.0775e-05,             6.0775e-05,             6.0775e-05
                     10,                0.81795,                 1.6596,                 2.4506,                 1.1748,                0.47725,                0.18353,                0.15155,                0.12045,                0.47795,                0.18238,                0.15257,                0.11619,                0.83702,                 1.6757,                 2.2981,                 1.2026,             5.6172e-05,             5.6172e-05,             5.6172e-05
                     11,                0.80581,                 1.6556,                 2.5395,                 1.2012,                0.43482,                0.19222,                0.15706,                0.12369,                0.43628,                 0.1923,                0.15746,                0.11934,                0.82173,                 1.6599,                 2.2244,                 1.1794,             5.1568e-05,             5.1568e-05,             5.1568e-05
                     12,                0.78701,                 1.6054,                 2.4352,                 1.1843,                0.47135,                0.19417,                0.16473,                0.13076,                0.48454,                0.19153,                0.16593,                0.12657,                0.80757,                 1.6347,                  2.191,                  1.166,             4.6965e-05,             4.6965e-05,             4.6965e-05
                     13,                 0.7714,                 1.5803,                  2.383,                 1.1738,                0.45326,                0.20591,                0.16953,                0.13496,                0.44281,                0.20783,                0.17046,                0.12963,                0.80611,                 1.6319,                 2.1632,                 1.1668,             4.2361e-05,             4.2361e-05,             4.2361e-05
                     14,                0.77142,                 1.5627,                 2.3457,                 1.1706,                0.47781,                0.20678,                0.17545,                0.13991,                0.47742,                0.20788,                0.17579,                0.13484,                0.80395,                 1.6214,                 2.1458,                 1.1649,             3.7758e-05,             3.7758e-05,             3.7758e-05
                     15,                0.76312,                 1.5346,                 2.3205,                  1.164,                0.45859,                0.21312,                0.17854,                0.14289,                0.45976,                0.20929,                0.17895,                0.13712,                  0.801,                 1.6163,                 2.1408,                 1.1603,             3.3154e-05,             3.3154e-05,             3.3154e-05
