                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96532,                 1.9836,                 2.4334,                 1.4706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.059976,               0.015611,               0.015611
                      2,                 0.8922,                 1.8202,                 2.2948,                 1.3995,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.026669,               0.026669,               0.026669
                      3,                0.81322,                 1.6585,                 2.1538,                  1.322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.026669,               0.026669,               0.026669
                      4,                0.75965,                 1.5631,                 2.0464,                 1.2662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025278,               0.025278,               0.025278
                      5,                0.73707,                 1.5111,                   1.99,                 1.2491,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023888,               0.023888,               0.023888
                      6,                0.69498,                 1.4409,                  1.912,                 1.2063,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022497,               0.022497,               0.022497
                      7,                0.68174,                 1.4125,                 1.8749,                 1.1943,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.021106,               0.021106,               0.021106
                      8,                0.66081,                 1.3651,                 1.8289,                  1.178,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019715,               0.019715,               0.019715
                      9,                0.64397,                 1.3351,                 1.7769,                 1.1566,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.018324,               0.018324,               0.018324
                     10,                0.62282,                 1.2951,                 1.7301,                 1.1407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016934,               0.016934,               0.016934
                     11,                0.64234,                 1.3499,                 1.7719,                 1.2033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015543,               0.015543,               0.015543
                     12,                0.63183,                 1.3054,                 1.7155,                 1.1868,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014152,               0.014152,               0.014152
                     13,                 0.6069,                 1.2527,                 1.6654,                  1.162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012761,               0.012761,               0.012761
                     14,                0.59549,                 1.2299,                 1.6206,                 1.1479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01137,                0.01137,                0.01137
                     15,                0.57899,                 1.1937,                 1.5831,                 1.1324,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099797,              0.0099797,              0.0099797
                     16,                0.56433,                 1.1626,                  1.535,                 1.1148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085889,              0.0085889,              0.0085889
                     17,                0.54717,                 1.1361,                 1.4896,                 1.0922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071981,              0.0071981,              0.0071981
                     18,                0.53892,                 1.1038,                 1.4588,                 1.0903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058073,              0.0058073,              0.0058073
                     19,                0.52061,                 1.0761,                 1.4063,                  1.072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044165,              0.0044165,              0.0044165
                     20,                0.50914,                 1.0476,                 1.3747,                 1.0588,                0.36364,                 0.2215,                  0.172,                0.13274,                0.36379,                0.22205,                0.17006,                0.12454,                0.55259,                 1.1169,                 1.4437,                 1.0857,              0.0030257,              0.0030257,              0.0030257
