                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75009,                 1.5149,                  2.364,                  1.035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037446,              0.0054986,              0.0054986
                      2,                0.73899,                 1.5006,                 2.3446,                 1.0317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076814,              0.0076814,              0.0076814
                      3,                0.67854,                 1.3863,                 2.2004,                0.97938,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076814,              0.0076814,              0.0076814
                      4,                0.64055,                 1.3093,                 2.0941,                0.95284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072828,              0.0072828,              0.0072828
                      5,                0.61779,                 1.2446,                 2.0118,                0.93355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068842,              0.0068842,              0.0068842
                      6,                0.60318,                 1.2227,                 1.9649,                0.91808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064856,              0.0064856,              0.0064856
                      7,                0.58151,                 1.1824,                 1.8881,                 0.9027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006087,               0.006087,               0.006087
                      8,                0.56803,                 1.1456,                 1.8297,                0.89121,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056884,              0.0056884,              0.0056884
                      9,                 0.5529,                 1.1218,                 1.7783,                0.88018,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052898,              0.0052898,              0.0052898
                     10,                0.54283,                 1.0882,                  1.741,                 0.8739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048912,              0.0048912,              0.0048912
                     11,                0.55115,                 1.1179,                 1.7699,                0.91497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044926,              0.0044926,              0.0044926
                     12,                0.54231,                 1.0848,                 1.7011,                0.90281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040941,              0.0040941,              0.0040941
                     13,                0.52394,                 1.0505,                 1.6389,                0.89056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036955,              0.0036955,              0.0036955
                     14,                0.51563,                 1.0195,                 1.6006,                0.88025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032969,              0.0032969,              0.0032969
                     15,                0.50077,                 1.0016,                 1.5491,                0.86679,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028983,              0.0028983,              0.0028983
                     16,                0.48744,                0.96623,                 1.4894,                0.85718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024997,              0.0024997,              0.0024997
                     17,                0.47273,                0.94771,                 1.4489,                0.83876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021011,              0.0021011,              0.0021011
                     18,                0.46231,                0.92063,                 1.4003,                0.83581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017025,              0.0017025,              0.0017025
                     19,                0.45085,                0.89227,                 1.3519,                0.82834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013039,              0.0013039,              0.0013039
                     20,                0.43777,                0.86658,                 1.3059,                 0.8126,                0.40936,                0.26218,                0.23775,                0.18923,                0.41126,                0.26227,                0.23655,                0.18104,                0.48018,                0.94049,                 1.4555,                0.84054,              0.0009053,              0.0009053,              0.0009053
