                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51484,                 1.0296,                 2.0428,                 1.0359,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046923,              0.0014841,              0.0014841
                      2,                0.57893,                  1.158,                 2.3077,                  1.113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025859,              0.0025859,              0.0025859
                      3,                0.54184,                 1.0886,                 2.1811,                 1.0768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025859,              0.0025859,              0.0025859
                      4,                0.50547,                 1.0161,                 2.0359,                 1.0441,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024518,              0.0024518,              0.0024518
                      5,                0.48338,                 0.9712,                 1.9249,                 1.0211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023176,              0.0023176,              0.0023176
                      6,                0.47274,                0.94474,                 1.8704,                 1.0042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021835,              0.0021835,              0.0021835
                      7,                0.45431,                0.90243,                 1.7799,                0.98714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020494,              0.0020494,              0.0020494
                      8,                0.44287,                0.87234,                 1.7167,                0.97507,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019153,              0.0019153,              0.0019153
                      9,                 0.4336,                0.86241,                 1.6684,                0.96356,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017812,              0.0017812,              0.0017812
                     10,                0.42301,                0.83146,                 1.6167,                0.95635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001647,               0.001647,               0.001647
                     11,                 0.4268,                 0.8452,                  1.594,                0.98273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015129,              0.0015129,              0.0015129
                     12,                0.41118,                0.79964,                 1.4951,                0.95909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013788,              0.0013788,              0.0013788
                     13,                0.39864,                0.77402,                 1.4226,                0.94635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012447,              0.0012447,              0.0012447
                     14,                0.38547,                0.74555,                 1.3443,                0.93061,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011106,              0.0011106,              0.0011106
                     15,                0.37348,                0.72161,                 1.2825,                0.91329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097643,             0.00097643,             0.00097643
                     16,                0.36025,                0.69849,                 1.2098,                0.90136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084231,             0.00084231,             0.00084231
                     17,                0.34821,                0.67221,                 1.1479,                0.88324,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070819,             0.00070819,             0.00070819
                     18,                0.33751,                0.64992,                 1.0839,                0.87454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057407,             0.00057407,             0.00057407
                     19,                0.32498,                0.62286,                0.99913,                0.86121,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00043995,             0.00043995,             0.00043995
                     20,                0.31337,                0.60261,                0.93503,                0.84472,                0.39894,                0.31255,                0.28786,                0.23182,                0.41327,                0.30759,                0.28724,                0.22292,                0.41185,                0.81434,                 1.5437,                0.96214,             0.00030583,             0.00030583,             0.00030583
