                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79082,                 1.6104,                 2.8238,                 1.2442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040904,               0.002856,               0.002856
                      2,                0.81187,                 1.6422,                  2.909,                 1.2667,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043833,              0.0043833,              0.0043833
                      3,                0.76091,                 1.5356,                  2.713,                 1.2259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043833,              0.0043833,              0.0043833
                      4,                0.71432,                 1.4402,                 2.5692,                  1.186,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041566,              0.0041566,              0.0041566
                      5,                0.67368,                 1.3636,                 2.4181,                 1.1509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00393,                0.00393,                0.00393
                      6,                0.65544,                 1.3089,                 2.3377,                 1.1389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037033,              0.0037033,              0.0037033
                      7,                0.63048,                 1.2534,                 2.2398,                 1.1165,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034766,              0.0034766,              0.0034766
                      8,                0.61319,                 1.2323,                 2.1774,                 1.0997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032499,              0.0032499,              0.0032499
                      9,                0.60114,                 1.1926,                 2.0917,                 1.0901,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030233,              0.0030233,              0.0030233
                     10,                0.58384,                 1.1614,                 2.0344,                 1.0748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027966,              0.0027966,              0.0027966
                     11,                0.60296,                 1.2053,                 2.0739,                 1.1245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025699,              0.0025699,              0.0025699
                     12,                0.58315,                 1.1526,                 1.9765,                  1.101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023432,              0.0023432,              0.0023432
                     13,                0.56595,                 1.1154,                 1.8949,                 1.0834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021166,              0.0021166,              0.0021166
                     14,                0.54841,                 1.0825,                 1.8159,                 1.0651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018899,              0.0018899,              0.0018899
                     15,                0.53143,                 1.0383,                  1.737,                 1.0492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016632,              0.0016632,              0.0016632
                     16,                0.51402,                  1.007,                 1.6646,                 1.0342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014365,              0.0014365,              0.0014365
                     17,                0.50034,                0.97701,                 1.5943,                 1.0173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012099,              0.0012099,              0.0012099
                     18,                0.48572,                0.94213,                  1.527,                 1.0047,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00098318,             0.00098318,             0.00098318
                     19,                0.47046,                0.90781,                 1.4344,                0.99291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00075651,             0.00075651,             0.00075651
                     20,                0.45236,                0.88197,                 1.3549,                0.97385,                0.38014,                0.28834,                0.26867,                0.21565,                0.37884,                0.29125,                0.26757,                0.20738,                0.54625,                 1.0635,                 1.8036,                 1.0505,             0.00052983,             0.00052983,             0.00052983
