                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76737,                 1.5789,                 2.1234,                  1.412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0569,              0.0092567,              0.0092567
                      2,                0.71302,                 1.4836,                 2.0347,                 1.3579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016805,               0.016805,               0.016805
                      3,                 0.6648,                  1.374,                 1.9181,                 1.2937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016805,               0.016805,               0.016805
                      4,                0.62156,                 1.2793,                 1.8233,                 1.2504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015931,               0.015931,               0.015931
                      5,                0.59297,                 1.2338,                 1.7523,                 1.2183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015056,               0.015056,               0.015056
                      6,                0.57594,                 1.1898,                 1.7034,                 1.1981,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014181,               0.014181,               0.014181
                      7,                 0.5605,                  1.152,                 1.6553,                  1.181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013307,               0.013307,               0.013307
                      8,                0.54058,                 1.1103,                 1.6005,                 1.1607,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012432,               0.012432,               0.012432
                      9,                0.52448,                 1.0868,                 1.5728,                 1.1436,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.011558,               0.011558,               0.011558
                     10,                0.51636,                 1.0557,                 1.5329,                 1.1326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010683,               0.010683,               0.010683
                     11,                0.52556,                 1.0853,                 1.5485,                 1.1835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098083,              0.0098083,              0.0098083
                     12,                0.51345,                 1.0532,                 1.5022,                 1.1673,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0089336,              0.0089336,              0.0089336
                     13,                0.49832,                 1.0241,                  1.462,                 1.1498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008059,               0.008059,               0.008059
                     14,                0.48691,                0.99661,                 1.4223,                 1.1338,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071843,              0.0071843,              0.0071843
                     15,                0.47726,                0.98059,                 1.3929,                 1.1252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063097,              0.0063097,              0.0063097
                     16,                0.46458,                0.95338,                 1.3513,                 1.1086,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054351,              0.0054351,              0.0054351
                     17,                0.45059,                0.92093,                 1.3008,                 1.0858,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045604,              0.0045604,              0.0045604
                     18,                0.44248,                0.90159,                 1.2732,                 1.0789,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036858,              0.0036858,              0.0036858
                     19,                0.42555,                0.87186,                 1.2218,                 1.0588,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028111,              0.0028111,              0.0028111
                     20,                0.41417,                0.84952,                 1.1891,                 1.0446,                0.35914,                0.24098,                0.19853,                0.15704,                 0.3741,                0.23837,                0.19908,                0.15013,                0.45624,                0.90009,                 1.2598,                 1.0777,              0.0019365,              0.0019365,              0.0019365
