                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89076,                 1.8346,                 2.3776,                  1.483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.055397,               0.012566,               0.012566
                      2,                0.83647,                 1.7021,                 2.2473,                 1.4148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.020891,               0.020891,               0.020891
                      3,                0.75565,                 1.5637,                 2.0949,                 1.3299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.020891,               0.020891,               0.020891
                      4,                0.71677,                 1.4712,                 2.0031,                 1.2874,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019802,               0.019802,               0.019802
                      5,                0.67933,                 1.4092,                 1.9281,                 1.2518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.018713,               0.018713,               0.018713
                      6,                0.65483,                 1.3671,                 1.8869,                 1.2296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017624,               0.017624,               0.017624
                      7,                0.63197,                 1.3198,                 1.8268,                  1.204,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016535,               0.016535,               0.016535
                      8,                0.61954,                 1.2805,                 1.7762,                 1.1881,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015446,               0.015446,               0.015446
                      9,                0.60226,                 1.2534,                 1.7349,                 1.1724,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014357,               0.014357,               0.014357
                     10,                0.58615,                 1.2188,                 1.7046,                 1.1536,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013268,               0.013268,               0.013268
                     11,                0.59207,                 1.2413,                 1.7058,                 1.1975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012179,               0.012179,               0.012179
                     12,                0.58555,                 1.2081,                  1.658,                 1.1899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01109,                0.01109,                0.01109
                     13,                0.56386,                 1.1616,                 1.6044,                 1.1657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010001,               0.010001,               0.010001
                     14,                0.55638,                 1.1423,                 1.5719,                 1.1558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008912,               0.008912,               0.008912
                     15,                0.53801,                 1.1098,                 1.5236,                 1.1376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007823,               0.007823,               0.007823
                     16,                0.52423,                 1.0845,                 1.4796,                 1.1205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006734,               0.006734,               0.006734
                     17,                0.50829,                 1.0556,                  1.436,                 1.0994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005645,               0.005645,               0.005645
                     18,                0.49952,                 1.0237,                 1.4026,                 1.0906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004556,               0.004556,               0.004556
                     19,                0.48424,                0.99681,                 1.3563,                 1.0765,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003467,               0.003467,               0.003467
                     20,                0.47095,                0.96989,                 1.3159,                 1.0625,                0.40626,                 0.2198,                0.18752,                0.14692,                0.41768,                0.21885,                0.18838,                0.14041,                0.51988,                  1.033,                 1.3907,                 1.0979,               0.002378,               0.002378,               0.002378
