                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61101,                   1.24,                 2.9269,                 1.1758,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03893,              0.0027907,              0.0027907
                      2,                0.63848,                 1.2991,                 3.0284,                 1.2144,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041548,              0.0041548,              0.0041548
                      3,                0.58686,                 1.1942,                 2.7959,                 1.1629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041548,              0.0041548,              0.0041548
                      4,                0.55526,                 1.1244,                 2.6459,                 1.1299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039396,              0.0039396,              0.0039396
                      5,                0.52463,                 1.0591,                 2.4997,                 1.1001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037244,              0.0037244,              0.0037244
                      6,                 0.5113,                 1.0213,                 2.4079,                 1.0871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035091,              0.0035091,              0.0035091
                      7,                0.49547,                0.99466,                 2.3271,                 1.0688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032939,              0.0032939,              0.0032939
                      8,                0.48595,                0.96713,                 2.2536,                 1.0602,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030787,              0.0030787,              0.0030787
                      9,                0.46877,                0.93459,                 2.1562,                 1.0391,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028635,              0.0028635,              0.0028635
                     10,                0.46176,                  0.923,                 2.1312,                 1.0341,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026483,              0.0026483,              0.0026483
                     11,                0.47228,                0.94325,                 2.1233,                 1.0726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024331,              0.0024331,              0.0024331
                     12,                0.45735,                0.90496,                 2.0301,                 1.0517,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022178,              0.0022178,              0.0022178
                     13,                 0.4402,                0.86953,                 1.9269,                 1.0335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020026,              0.0020026,              0.0020026
                     14,                0.42649,                0.84133,                 1.8401,                 1.0156,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017874,              0.0017874,              0.0017874
                     15,                0.41301,                0.81794,                 1.7681,                0.99966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015722,              0.0015722,              0.0015722
                     16,                  0.403,                0.79272,                 1.6965,                 0.9873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001357,               0.001357,               0.001357
                     17,                0.38751,                0.76489,                 1.5995,                0.96539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011418,              0.0011418,              0.0011418
                     18,                0.37874,                0.73825,                 1.5279,                0.95992,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092654,             0.00092654,             0.00092654
                     19,                0.36411,                0.71361,                 1.4302,                0.94297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071133,             0.00071133,             0.00071133
                     20,                0.35147,                0.69013,                   1.35,                0.92846,                0.39969,                0.30102,                0.27923,                0.22226,                 0.4111,                0.30042,                0.27818,                0.21355,                0.43241,                0.84541,                 1.8811,                 1.0103,             0.00049611,             0.00049611,             0.00049611
